id,user,created_at,text,fav,RT
1446698557080145921,mokamomo03,Sat Oct 09 04:46:29 +0000 2021,#スタバ#キャラメルアップルルイボスティーこれ飲みたいわ♥️🍎 ,0,0
1446698550486654976,yamagomori38,Sat Oct 09 04:46:27 +0000 2021,スタバのおイモにありつけない…,0,0
1446698538654527490,610_kokihi,Sat Oct 09 04:46:24 +0000 2021,暇すぎてスタバっちゃうか悩んでる,0,0
1446698530278543366,Erica17873067,Sat Oct 09 04:46:22 +0000 2021,スタバのホットココアを飲みながら、劇場版FreeTheFinalStroke 前編 を観る贅沢なあたちぃ💕😘#Free #劇場版FreeTheFinalStroke #FreeTheFinalStroke #京アニ… ,0,0
1446698529083117570,CopenGR_7887,Sat Oct 09 04:46:22 +0000 2021,スタバ飲みたいしコンテナ行きたいししたい事だらけ笑笑,0,0
1446698527933886464,0sk___,Sat Oct 09 04:46:22 +0000 2021,なんで小出の原信のとこ、スタバじゃなくてタリーズなんんんんん₍₍ (̨̡ ‾᷄⌂‾᷅)̧̢ ₎₎,1,0
1446698510552731651,setsuka_dlrean,Sat Oct 09 04:46:17 +0000 2021,旦那がスタバ飲みたいって言うから飲みたいものLINEしてって送ったら、Ventiがべんでぃになってたww誰だよwwww ,1,0
1446698486057947136,TheHalfPrice,Sat Oct 09 04:46:12 +0000 2021,友達とスタバで1時間半も時間を潰してしまった,2,0
1446698484816482305,wntk_88,Sat Oct 09 04:46:11 +0000 2021,スタバてわすげえ笑顔で札束数えてる人いるけど、これが港区………？？,0,0
1446698468106334210,qwxqwqq,Sat Oct 09 04:46:07 +0000 2021,眠い🥱💤「きょう午後勉強でもしてきな」と旦那氏より時間を頂きましたが、眠い🥱スタバ勉予定でしたが、まだ家でゴロゴロなう(=^ェ^=)夕方はコルギ💀行ってくるよ〜,2,0
1446698453568872450,rinao46,Sat Oct 09 04:46:04 +0000 2021,毎週スタバでゆずcitrusティー（今日は暑いからアイス）飲みながらスマホ（Hulu）みてニタついてるのは私です（定型文）,0,0
1446698432110817281,kanapiyo_ff14,Sat Oct 09 04:45:59 +0000 2021,スタバきました ,7,1
1446698426595303428,HANA__56n,Sat Oct 09 04:45:57 +0000 2021,スタバいってたwただいま～！,6,0
1446698390545260546,MCosyaso,Sat Oct 09 04:45:49 +0000 2021,部屋片付けたいけど歯医者で心折れたから虚無ってる……広島大学病院初めて行くからGoogleマップ見てるけどスタバが入っててテンション上がった。終わったら飲んでいい聞いとこ。ダメだったら悲しいから早めに行って飲もうかな〜。歯磨きセットも持って行っとこう。,0,0
1446698389769310212,bakusyou___,Sat Oct 09 04:45:49 +0000 2021,全国で唯一スタバがない鳥取県★どう考える？と直撃された鳥取県知事、「うちには大きなスナバがありますから」★やるじゃねえか★！！！,0,0
1446698382995574787,fujifuji_jpfuji,Sat Oct 09 04:45:47 +0000 2021,もう今日はなんか疲れるだろうから帰りスタバ寄ろう誰か一緒に休憩しませんか。声かけて下さいね。,0,0
1446698377933062146,SeoulTora,Sat Oct 09 04:45:46 +0000 2021,バイトの合間に、秘密のタルトとチャパタパン。スタバの今日のコーヒーと共に。비밀 ,0,0
1446698368512651264,kakky_nagi,Sat Oct 09 04:45:44 +0000 2021,スタバなう ,0,1
1446698330885537795,_momo_pp,Sat Oct 09 04:45:35 +0000 2021,スタバのキャラメルアップルルイボスティーめちゃおいしい〜〜しあわせ🥰💞💞 ,1,0
1446698315861544960,otahaha_kyoto,Sat Oct 09 04:45:31 +0000 2021,帰りの駅。スタバのフラペチーノ的なカロリー高そうドリンクを手にした私より年齢半分以下くらいのお嬢ちゃんが迷いなくエレベーターに乗り込んだのを見て、（そんな甘そうなもん飲むならちょっとは動かねーと太るぞ）とコッソリ思ったお母ちゃん。だいたい私より体格デカ…（自主規制）,0,0
1446698295804317696,Jasmine_Gee_7,Sat Oct 09 04:45:26 +0000 2021, このスタバ行きたい！！！,0,0
1446698292218191876,bokete5,Sat Oct 09 04:45:25 +0000 2021,【スタバのサイズ】左からショート→トール→グランデ→ベンティ→メンディー ！！！,0,0
1446698234135515140,ypr08dabesaa,Sat Oct 09 04:45:12 +0000 2021,疲れた体にスタバの甘々フラペがちみる、、、、,1,0
1446698222139838466,saikyounotamago,Sat Oct 09 04:45:09 +0000 2021,昨日スタバ行った時の！ ,0,0
1446698221221253121,zarame_ququ,Sat Oct 09 04:45:08 +0000 2021, これスタバで提供されているなら私は今日スタバにいきますね♪,0,0
1446698214652977159,kema_doragonika,Sat Oct 09 04:45:07 +0000 2021,ドトールとかスタバとかちょいと「かふぇ」に行こうかの。オサレけまモードじゃ(*ˊ˘ˋ*)✨,5,0
1446698212614553604,genbahoshi,Sat Oct 09 04:45:06 +0000 2021,スタバってアーモンドトフィー無くなったんだっけ?,0,0
1446698212501323780,kitaharu24,Sat Oct 09 04:45:06 +0000 2021, 近所にスタバがあるのでゆっくりと一息つけたら幸せです🎶🎃💟,0,0
1446698206675423235,Mayuchi0106,Sat Oct 09 04:45:05 +0000 2021,銀座のスタバで休憩。抹茶クリームフラペチーノにハロウィンポッピングドーナツ🎃🍩 ,0,0
1446698195749273609,delvauxindex,Sat Oct 09 04:45:02 +0000 2021,スタバチケットなくスタバで居座りたい時に頼むやつ#ブラックティー　#本当はショート頼みたい ,0,0
1446698190770610184,Shitayokoyama11,Sat Oct 09 04:45:01 +0000 2021,スタバなう（三種飲み比べ） ,0,0
1446698183350882315,D_1110202,Sat Oct 09 04:44:59 +0000 2021,スタバなう ,6,0
1446698174744203267,sattyon0510,Sat Oct 09 04:44:57 +0000 2021,長女の習い事の通り道にあるスタバでコーヒークリームあったから帰りに買った❤️長女はいつものキッズココア飲んで嬉しそうにしてた😊次女はりんごジュース飲みながら恨めしそうにしてた🤣,0,0
1446698170147217409,kyky_tnk,Sat Oct 09 04:44:56 +0000 2021,私も今日スタバで紙ストローの洗礼を受けた,0,0
1446698167920037896,eee_poke,Sat Oct 09 04:44:56 +0000 2021, スタバの店員さん女性ばっかり🥲🥲🥲,0,0
1446698158038257669,imadoki_jks,Sat Oct 09 04:44:53 +0000 2021,やっぱり女子高生はスイーツ命♡ まず、はずせないのはスタバのキャラメルフラペチーノとシュガードーナツだよね♡　友達同士でスタバに行く時も、だいたいみんな頼むのはこれだね♡ ,0,0
1446698126266408960,wadaikorabo,Sat Oct 09 04:44:46 +0000 2021,☆スタバナナ☆食べてみたいと思ったらRT～♪最近、発売し始めたスタバの新作、スタバナナ！売り切れ続出の人気です♪味はチョコレートとキャラメルの２種類～♪実は朝食の代わりにもなるみたい♪ ,0,0
